n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
68,-0.6103515625,-0.3662109375,0.06103515625,10.293793945312501,-0.5412744140625,0.4981640625
69,-0.6103515625,-0.244140625,0.0,10.28900390625,-0.5748046875,0.51732421875
70,-0.6103515625,-0.3662109375,0.0,10.3129541015625,-0.5700146484375,0.5269042968750001
71,-0.48828125,-0.42724609375,0.06103515625,10.3129541015625,-0.5700146484375,0.5269042968750001
72,-0.6103515625,-0.244140625,0.0,10.293793945312501,-0.5652246093750001,0.5700146484375
73,-0.6103515625,-0.30517578125,0.06103515625,10.3033740234375,-0.5604345703125,0.5221142578125
74,-0.54931640625,-0.3662109375,0.06103515625,10.28900390625,-0.55564453125,0.4646337890625
75,-0.6103515625,-0.3662109375,0.1220703125,10.28900390625,-0.55564453125,0.5029541015625
76,-0.6103515625,-0.3662109375,0.1220703125,10.32732421875,-0.5460644531250001,0.4742138671875
77,-0.6103515625,-0.3662109375,0.06103515625,10.3416943359375,-0.536484375,0.4550537109375
78,-0.6103515625,-0.3662109375,0.0,10.3416943359375,-0.55564453125,0.488583984375
79,-0.6103515625,-0.3662109375,0.0,10.3033740234375,-0.55564453125,0.5029541015625
80,-0.6103515625,-0.30517578125,0.0,10.279423828125001,-0.5316943359375,0.45984375
81,-0.54931640625,-0.3662109375,0.0,10.32732421875,-0.5269042968750001,0.48379394531250003
82,-0.54931640625,-0.3662109375,0.06103515625,10.317744140625,-0.5460644531250001,0.5125341796875
83,-0.6103515625,-0.3662109375,0.0,10.3129541015625,-0.5316943359375,0.48379394531250003
84,-0.6103515625,-0.42724609375,0.06103515625,10.308164062500001,-0.5269042968750001,0.5221142578125
85,-0.54931640625,-0.30517578125,0.06103515625,10.3033740234375,-0.5412744140625,0.4981640625
86,-0.6103515625,-0.30517578125,0.0,10.332114257812501,-0.5652246093750001,0.49337402343750003
87,-0.48828125,-0.3662109375,0.0,10.32732421875,-0.5604345703125,0.5316943359375
88,-0.54931640625,-0.30517578125,0.0,10.298583984375,-0.5604345703125,0.5460644531250001
89,-0.6103515625,-0.30517578125,0.06103515625,10.3129541015625,-0.5604345703125,0.536484375
