part,samples,accX,accY,accZ,gyroX,gyroY,gyroZ
x_a,1236,-2062.0,-26.0,-63.0,1.0,-2.0,-1.0
x_a,1237,-2050.0,-30.0,-86.0,-4.0,-3.0,1.0
x_a,1238,-2046.0,-28.0,-88.0,2.0,-2.0,-3.0
x_a,1239,-2055.0,-30.0,-67.0,1.0,-9.0,0.0
x_a,1240,-2047.0,-32.0,-67.0,0.0,-3.0,1.0
x_a,1241,-2049.0,-33.0,-81.0,4.0,-2.0,-6.0
x_a,1242,-2049.0,-25.0,-74.0,-4.0,-4.0,-2.0
x_a,1243,-2054.0,-34.0,-69.0,6.0,-6.0,-5.0
x_a,1244,-2056.0,-26.0,-71.0,-1.0,-7.0,0.0
x_a,1245,-2058.0,-21.0,-65.0,11.0,0.0,-4.0
x_a,1246,-2058.0,-26.0,-74.0,-2.0,-1.0,-2.0
x_a,1247,-2059.0,-23.0,-77.0,1.0,-3.0,-8.0
x_a,1248,-2055.0,-35.0,-69.0,-1.0,-6.0,-1.0
x_a,1249,-2049.0,-31.0,-90.0,4.0,-7.0,-3.0
x_a,1250,-2056.0,-19.0,-70.0,4.0,-2.0,-5.0
x_a,1251,-2046.0,-34.0,-84.0,-5.0,-3.0,2.0
x_a,1252,-2059.0,-36.0,-71.0,4.0,-3.0,-6.0
x_a,1253,-2056.0,-38.0,-75.0,0.0,-4.0,-4.0
x_a,1254,-2054.0,-32.0,-83.0,2.0,0.0,2.0
x_a,1255,-2050.0,-25.0,-70.0,2.0,-4.0,-5.0
x_a,1256,-2043.0,-38.0,-69.0,0.0,-9.0,-3.0
x_a,1257,-2058.0,-17.0,-81.0,0.0,-2.0,-8.0
x_a,1258,-2049.0,-31.0,-67.0,2.0,-7.0,-7.0
x_a,1259,-2059.0,-24.0,-66.0,2.0,-1.0,-1.0
x_a,1260,-2049.0,-19.0,-83.0,1.0,-4.0,-1.0
x_a,1261,-2055.0,-28.0,-70.0,1.0,-6.0,-10.0
x_a,1262,-2054.0,-19.0,-77.0,2.0,-7.0,-9.0
x_a,1263,-2054.0,-33.0,-74.0,8.0,-1.0,-4.0
x_a,1264,-2046.0,-25.0,-67.0,5.0,-5.0,2.0
x_a,1265,-2050.0,-36.0,-94.0,3.0,1.0,-7.0
x_a,1266,-2056.0,-27.0,-88.0,3.0,-9.0,4.0
x_a,1267,-2048.0,-38.0,-74.0,3.0,1.0,-1.0
x_a,1268,-2047.0,-17.0,-79.0,8.0,-8.0,-6.0
x_a,1269,-2064.0,-26.0,-78.0,-1.0,-4.0,-5.0
x_a,1270,-2034.0,-38.0,-87.0,8.0,-5.0,-6.0
x_a,1271,-2051.0,-28.0,-84.0,-1.0,3.0,-2.0
x_a,1272,-2055.0,-40.0,-68.0,7.0,1.0,-4.0
x_a,1273,-2045.0,-23.0,-75.0,0.0,-3.0,-6.0
x_a,1274,-2067.0,-37.0,-82.0,0.0,-2.0,-5.0
x_a,1275,-2046.0,-42.0,-77.0,6.0,-2.0,-2.0
x_a,1276,-2035.0,-32.0,-60.0,3.0,-8.0,-5.0
x_a,1277,-2050.0,-34.0,-66.0,6.0,-9.0,-4.0
x_a,1278,-2047.0,-36.0,-69.0,4.0,-8.0,1.0
x_a,1279,-2053.0,-31.0,-69.0,4.0,-2.0,-2.0
x_a,1280,-2044.0,-19.0,-82.0,-2.0,-4.0,-11.0
x_a,1281,-2051.0,-28.0,-72.0,5.0,-6.0,-3.0
x_a,1282,-2055.0,-26.0,-78.0,2.0,-5.0,3.0
x_a,1283,-2048.0,-22.0,-87.0,-1.0,-2.0,-3.0
x_a,1284,-2057.0,-41.0,-80.0,5.0,-3.0,-1.0
x_a,1285,-2063.0,-39.0,-79.0,3.0,-1.0,-1.0
x_a,1286,-2063.0,-28.0,-85.0,1.0,-7.0,-6.0
x_a,1287,-2053.0,-34.0,-69.0,0.0,-5.0,-1.0
x_a,1288,-2055.0,-20.0,-70.0,1.0,-6.0,-5.0
x_a,1289,-2053.0,-38.0,-80.0,-2.0,-8.0,-6.0
x_a,1290,-2055.0,-33.0,-63.0,5.0,-6.0,-6.0
x_a,1291,-2055.0,-30.0,-69.0,4.0,-9.0,-1.0
x_a,1292,-2051.0,-28.0,-70.0,2.0,-2.0,0.0
x_a,1293,-2050.0,-33.0,-75.0,0.0,-2.0,-3.0
x_a,1294,-2053.0,-43.0,-83.0,5.0,-5.0,-1.0
x_a,1295,-2047.0,-25.0,-72.0,4.0,-6.0,-1.0
x_a,1296,-2044.0,-25.0,-83.0,-1.0,-2.0,-1.0
x_a,1297,-2045.0,-24.0,-77.0,4.0,-5.0,-3.0
x_a,1298,-2054.0,-25.0,-82.0,0.0,-8.0,-7.0
x_a,1299,-2047.0,-33.0,-84.0,3.0,0.0,-1.0
x_a,1300,-2047.0,-35.0,-70.0,4.0,-3.0,-3.0
x_a,1301,-2047.0,-31.0,-73.0,0.0,-10.0,-4.0
x_a,1302,-2051.0,-41.0,-80.0,4.0,-5.0,-4.0
x_a,1303,-2050.0,-37.0,-71.0,5.0,-3.0,-1.0
x_a,1304,-2045.0,-39.0,-75.0,-3.0,-6.0,-12.0
x_a,1305,-2057.0,-25.0,-73.0,-1.0,-10.0,-2.0
x_a,1306,-2056.0,-24.0,-75.0,6.0,-5.0,-9.0
x_a,1307,-2052.0,-35.0,-89.0,-3.0,-6.0,-3.0
x_a,1308,-2064.0,-25.0,-82.0,3.0,-2.0,-1.0
x_a,1309,-2044.0,-22.0,-74.0,-3.0,-4.0,-2.0
x_a,1310,-2044.0,-28.0,-89.0,6.0,-8.0,3.0
x_a,1311,-2054.0,-43.0,-76.0,10.0,-5.0,-3.0
